,text,label
52,Certidão de Publicação Expedida Relação :0093/2019 Data da Disponibilização: 29/03/2019 Data da Publicação: 01/04/2019 Número do Diário: 2778 Página: 1585/1607,H:Ativo
53,"Certidão de Cartório Expedida Certifico e dou fé que não houve manifestação acerca das contrarrazões. Nada Mais. Rio Claro, 12 de junho de 2018. Eu, ___, Lucrecia Maria Barsotti De Melo, Chefe de Seção Judiciário.",H:Ativo
54,Certidão de Publicação Expedida Relação :1760/2018 Data da Disponibilização: 13/09/2018 Data da Publicação: 14/09/2018 Número do Diário: 2658 Página: 2942/2944,H:Ativo
55,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
56,Trânsito em Julgado às partes - com Baixa,H:Arquivado
57,Recebidos os Autos da Procuradoria do Estado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da Vara das Execuções Fiscais Estaduais,H:Arquivado
58,Certidão de Publicação Expedida Relação :0019/2019 Data da Disponibilização: 13/03/2019 Data da Publicação: 14/03/2019 Número do Diário: Página:,H:Ativo
59,Petição Juntada Nº Protocolo: WSTA.19.70163285-0 Tipo da Petição: Petições Diversas Data: 25/03/2019 10:19,H:Ativo
60,"Certidão de Cartório Expedida Certifico e dou fé haver tornado os presentes autos ao arquivo, conforme determinado. Nada Mais.",H:Arquivado
61,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
62,Certidão de Publicação Expedida Relação :0178/2019 Data da Disponibilização: 26/03/2019 Data da Publicação: 27/03/2019 Número do Diário: 2775 Página: 1943-1950,H:Ativo
63,Certidão de Publicação Expedida Relação :0390/2018 Data da Disponibilização: 17/10/2018 Data da Publicação: 18/10/2018 Número do Diário: Página:,H:Ativo
64,Arquivado Definitivamente nos termos do Comunicado CG n.º 1789/2017.,H:Arquivado
65,Petição Juntada Nº Protocolo: WFPA.19.70015821-7 Tipo da Petição: Petições Diversas Data: 20/01/2019 23:24,H:Ativo
66,Arquivado Definitivamente,H:Arquivado
67,Certidão de Publicação Expedida Relação :1119/2017 Data da Disponibilização: 23/06/2017 Data da Publicação: 26/06/2017 Número do Diário: 2373 Página: 1208/1213,H:Ativo
68,Arquivado Definitivamente retorno a recall,H:Arquivado
69,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Privado Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo,H:Ativo
70,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
71,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 8ª Vara de Fazenda Pública,H:Ativo
72,Arquivamento Provisório - Cumprimento de Sentença Digital,H:Suspenso
73,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
74,Certidão de Cartório Expedida procedi as devidas anotações,H:Arquivado
75,Certidão de Publicação Expedida Relação :0762/2018 Data da Disponibilização: 29/08/2018 Data da Publicação: 30/08/2018 Número do Diário: 2648 Página: 3073,H:Ativo
76,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 13ª Vara de Fazenda Pública,H:Ativo
77,Arquivados Os Autos Definitivamente,H:Ativo
78,Trânsito em Julgado às partes - Proc. em Andamento Certifico e dou fé que a r. sentença de fls. 71 transitou em julgado em 31/05/2017. Nada Mais.,H:Suspenso
79,Mudança de Classe Processual,H:Arquivado
80,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum - Número: 80006 - Protocolo: FBDO16000705066,H:Arquivado
81,Arquivado Provisoriamente - Execução Frustrada,H:Suspenso
82,Cancelada a Distribuição (movimentação exclusiva do distribuidor) Cancelamento do Processo - ausência de recolhimento das custas iniciais.,H:Arquivado
83,Audiência Realizada Inexitosa COND - INFRUTÍFERA - CLS PARA SENTENÇA,H:Ativo
84,Documento Juntado,H:Arquivado
85,Ofício Juntado,H:Arquivado
86,Autos no Prazo Prazo 21/02/2016,H:Ativo
87,Guia de Recolhimento Juntada,H:Arquivado
88,Expedição de documento,H:Arquivado
89,Ofício Requisitório-Extinção de Precatório Expedido Ofício - Requisitório Eletrônico - Precatório - Extinção - Execução Fiscal-Fazenda Pública-Acidentes do Trabalho,H:Arquivado
90,Ato ordinatório Remetido ao ARQUIVO GERAL - CX. 4277/2015,H:Arquivado
91,"Certidão de Cartório Expedida Certifico e dou fé que, nesta data, faço a remessa destes autos ao SERVIÇO DE ENTRADA DE AUTOS DE DIREITO PUBLICO S.E.J. 2.1.4. COMPLEXO JUDICIÁRIO DO IPIRANGA SALA 38.",H:Ativo
92,"Arquivamento Provisório - Cumprimento de Sentença Digital 3,2,1 VOL + 3,2,1 AP - CX. 6446/2017",H:Arquivado
93,Arquivado Definitivamente,H:Arquivado
94,Início da Execução Juntado 0026174-57.2018.8.26.0053 - Cumprimento Provisório de Sentença,H:Ativo
95,Suspensão do Prazo Prazo referente ao usuário foi alterado para 22/03/2019 devido à alteração da tabela de feriados,H:Ativo
96,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados CX 4833/2015,H:Arquivado
97,Arquivado Provisoriamente,H:Suspenso
98,Certidão de Publicação Expedida Relação :0023/2019 Data da Disponibilização: 15/02/2019 Data da Publicação: 18/02/2019 Número do Diário: 2750 Página: 2292/2304,H:Ativo
99,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados,H:Arquivado
100,Enviado Para 2ª Inst No Lote 2016/ 196 Recebimento -2ª Inst.(Sra/Df) Ação Trabalhista (Ordinário),H:Arquivado
101,Suspensão do Prazo Prazo referente ao usuário foi alterado para 05/04/2019 devido à alteração da tabela de feriados,H:Ativo
102,Suspensão do Prazo Prazo referente à carga foi alterado para 13/02/2017 devido à alteração da tabela de feriados,H:Ativo
103,Arquivado Provisoriamente,H:Suspenso
104,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados REARQUIVO - I VOLUME,H:Arquivado
105,"Certidão de Cartório Expedida Certifico e dou fé que procedi à baixa na distribuição do feito, remetendo-o ao arquivo. Nada Mais.",H:Arquivado
106,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
107,Agravo de Instrumento - Acórdão e Demais Peças Juntados - Com Trânsito em Julgado - Agravo Destruído,H:Ativo
108,Processo de Execução da Pena Cadastrado PEC: 0003391-48.2019.8.26.0502 Parte: 3 - Davi Jefferson Sabino Bassani,H:Ativo
109,Certidão de Publicação Expedida Relação :0146/2019 Data da Disponibilização: 01/04/2019 Data da Publicação: 02/04/2019 Número do Diário: 2779 Página: 1149/1179,H:Ativo
110,Arquivado Provisoriamente PACOTE 13.837/18-,H:Suspenso
111,Certidão de Publicação Expedida Relação :0046/2018 Data da Disponibilização: 09/03/2018 Data da Publicação: 12/03/2018 Número do Diário: 2532 Página: 1023/1038,H:Ativo
112,Autos no Prazo,H:Ativo
113,Decurso de Prazo sem manifestação,H:Arquivado
114,Autos no Prazo,H:Ativo
115,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Ação Civil Pública Cível - Número: 80024 - Protocolo: FBIR19000059001,H:Ativo
116,Arquivado Definitivamente,H:Arquivado
117,Contestação Juntada Nº Protocolo: WSTA.17.70576582-9 Tipo da Petição: Contestação Data: 27/11/2017 16:53,H:Ativo
118,Certidão de Publicação Expedida Relação :0064/2019 Data da Disponibilização: 02/04/2019 Data da Publicação: 03/04/2019 Número do Diário: 2780 Página: 1381/1403,H:Ativo
119,Arquivado Definitivamente,H:Arquivado
120,Remetida a Carta Precatória ao Cartório de Origem Cumprida Positiva,H:Arquivado
121,Arquivado Definitivamente,H:Arquivado
122,Remetida a Carta Precatória ao Cartório de Origem Cumprida Positiva,H:Arquivado
123,Certidão de Cartório Expedida certidão de decurso de prazo,H:Arquivado
124,Suspensão do Prazo Prazo referente ao usuário foi alterado para 21/02/2019 devido à alteração da tabela de feriados,H:Ativo
125,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
126,Certidão de Publicação Expedida Relação :1540/2018 Data da Disponibilização: 22/11/2018 Data da Publicação: 23/11/2018 Número do Diário: 2702 Página: 6345/6349,H:Ativo
127,Suspensão do Prazo Prazo referente ao usuário foi alterado para 28/01/2019 devido à alteração da tabela de feriados,H:Arquivado
128,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados PACOTE 7145/2017 - 02 VOLUMES,H:Arquivado
129,Mero Expediente,H:Ativo
130,Arquivado Provisoriamente,H:Suspenso
131,"Remetido ao DJE Relação: 0186/2019 Teor do ato: Ciência ao interessado que o MLE foi encaminhado ao Banco, devendo ser verificado junto à conta indicada o seu crédito. Advogados(s): Orlando Antonio Mongelli Neto (OAB 142005/SP), Jose Augusto Parreira Filho (OAB 86606/SP)",H:Ativo
132,Início da Execução Juntado 0005381-68.2016.8.26.0053 - Cumprimento Provisório de Sentença,H:Ativo
133,Autos no Prazo ag. Prazo 09/04/2019 - Decurso 16/04/2019,H:Ativo
134,"Certidão de Cartório Expedida Certifico e dou fé que a parte exequente protocolou o incidente de cumprimento de sentença, conforme determinado. Certifico, ainda, que faço remessa dos presentes autos físicos ao arquivo provisório do cartório, em acordo com o Provimento CG 16/2016.",H:Suspenso
135,Expedição de documento CERTIDÃO GERAL,H:Suspenso
136,Arquivado Provisoriamente PACOTE:6886,H:Suspenso
137,Serventuário,H:Ativo
138,Decurso de Prazo Processo Digital - Certidão - Decurso de Prazo,H:Ativo
139,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo,H:Arquivado
140,Levantamento da Suspensão/Sobrestamento (Repercussão Geral/Demandas Repetitivas),H:Ativo
141,Certidão de Publicação Expedida Relação :0010/2018 Data da Disponibilização: 06/02/2018 Data da Publicação: 07/02/2018 Número do Diário: 2511 Página: 3278/3289,H:Arquivado
142,Conclusos para Despacho,H:Ativo
143,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
144,Documento Juntado,H:Ativo
145,Certidão de Publicação Expedida Relação :0106/2019 Data da Disponibilização: 21/02/2019 Data da Publicação: 22/02/2019 Número do Diário: 2754 Página: 1589/1595,H:Ativo
146,Arquivado Definitivamente,H:Arquivado
147,Certidão de Cartório Expedida Certidão - Genérica,H:Suspenso
148,Autos Destruídos,H:Arquivado
149,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados PACOTE 7459/2019- 1 AO 3 VOL+1AP,H:Arquivado
150,"Certidão de Cartório Expedida Certifico e dou fé que foi determinado no processo principal n° 1001121-03.2016 ofício ao Banco do Brasil para informar se existem valores naquele processo, conforme cópia às fls. 95. Assim, no aguardo das informações para posterior emissão do mandado de levantamento determinado às fls. 93. Nada Mais.",H:Ativo
151,Recebidos os Autos do Tribunal de Justiça Data do julgamento: 22/11/2016 Trânsito em julgado: Tipo de julgamento: Acórdão Decisão: Negaram provimento ao recurso. V. U. Situação do provimento: Não-Provimento Relator: Cláudio Marques,H:Ativo
152,Petição Juntada Nº Protocolo: WFPA.14.70035171-3 Tipo da Petição: Petição Intermediária Data: 03/11/2014 14:05,H:Ativo
153,Ofício Expedido Ofício - Genérico,H:Ativo
154,Despacho,H:Ativo
155,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 1ª Vara de Fazenda Pública,H:Suspenso
156,Petição Juntada Nº Protocolo: WFPA.18.70356030-9 Tipo da Petição: Petições Diversas Data: 11/09/2018 13:30,H:Ativo
157,Certidão de Publicação Expedida Relação :0068/2019 Data da Disponibilização: 08/03/2019 Data da Publicação: 11/03/2019 Número do Diário: 2763 Página: 1807/1832,H:Ativo
158,"Baixa Definitiva Ofício nº 770/17 de 23/03/17 - 2ª VEC. de Taubaté - SP. Execução Penal nº 1.137.021 - Sentenciado Jonathan Irineu Lacerda - Decisão de 27/04/2016 - Deferido indulto pleno e declarada extinta a pena privativa de liberdade, com fundamento no artigo 192 da LEP e artigo 107, inciso II, do Código Penal",H:Arquivado
159,"Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados PROCESSO ARQUIVADO EM 16/04/15, ETIQUETA NUMERO 9001965807527",H:Arquivado
160,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados CX 7792/2018,H:Ativo
161,Arquivado Definitivamente,H:Arquivado
162,Documento Juntado,H:Arquivado
163,"Edital 17/2016Publicado No Doe Nº 3196, Em 20/01/2016 Publicação De Edital",H:Arquivado
164,Disponibilizado no DJE Prazo 06/04/19,H:Ativo
165,Arquivado Definitivamente improc s/verba honorária,H:Arquivado
166,Certidão de Publicação Expedida Relação :0094/2019 Data da Disponibilização: 27/02/2019 Data da Publicação: 28/02/2019 Número do Diário: 2758 Página: 357/363,H:Ativo
167,Trânsito em Julgado às partes - com Baixa,H:Arquivado
168,Petição Juntada Nº Protocolo: WFPA.19.70052132-0 Tipo da Petição: Petições Diversas Data: 07/02/2019 20:00,H:Ativo
169,Certidão de Objeto e Pé Expedida Certidão - Objeto e Pé - Cível,H:Ativo
170,Arquivado Definitivamente Pacote nº 11.482/2016 (Único volume + 1 apenso),H:Arquivado
171,Tipo do Movimento:Envio de Documento Eletrônico ,H:Arquivado
172,Arquivado Provisoriamente - Execução Frustrada,H:Suspenso
173,Arquivado Definitivamente,H:Arquivado
174,Baixa Definitiva,H:Arquivado
175,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
176,Suspensão do Prazo Prazo referente ao usuário foi alterado para 15/03/2019 devido à alteração da tabela de feriados,H:Ativo
177,"Certidão de Trânsito em Julgado com Baixa Expedida-Art. 485, I, IV, VI e IX do CPC. Certifico e dou fé que a r. sentença de fls. 114/116 transitou em julgado em 17 de agosto de 2018. Certifico ainda que o processo foi baixado definitivamente no sistema.",H:Arquivado
178,Arquivado Definitivamente PACOTE 2017/4622,H:Arquivado
179,Suspensão do Prazo Prazo referente ao usuário foi alterado para 20/11/2018 devido à alteração da tabela de feriados Prazo referente ao usuário foi alterado para 20/11/2018 devido à alteração da tabela de feriados,H:Ativo
180,Suspensão do Prazo Prazo referente ao usuário foi alterado para 13/03/2019 devido à alteração da tabela de feriados,H:Ativo
181,Ofício Requisitório-Extinção de Precatório Expedido Ofício - Requisitório Eletrônico - Precatório - Extinção - Execução Fiscal-Fazenda Pública-Acidentes do Trabalho,H:Arquivado
182,Arquivado Provisoriamente,H:Suspenso
183,Arquivado Definitivamente,H:Arquivado
184,Arquivado Definitivamente,H:Arquivado
185,Início da Execução Juntado 0019498-79.2017.8.26.0554 - Cumprimento Provisório de Sentença,H:Ativo
186,Remetidos os Autos para a Contadoria,H:Ativo
187,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados Retornou ao Arquivo Geral - Recall - Pacote nº 1812/2007 - (1º e 2º Volume),H:Arquivado
188,Certidão de Publicação Expedida Relação :0238/2017 Data da Disponibilização: 04/08/2017 Data da Publicação: 07/08/2017 Número do Diário: 2403/2017 Página: 1885 e ss,H:Ativo
189,Certidão de Publicação Expedida Relação :0090/2018 Data da Disponibilização: 27/03/2018 Data da Publicação: 28/03/2018 Número do Diário: 2544 Página: 512/524,H:Ativo
190,Arquivado Definitivamente ARQUIVADO NA CAIXA SOB Nº 3585/2019,H:Arquivado
191,Suspensão do Prazo Prazo referente ao usuário foi alterado para 05/04/2019 devido à alteração da tabela de feriados,H:Ativo
192,Mudança de Classe Processual,H:Arquivado
193,Arquivado Definitivamente PACOTE 3534/2016,H:Arquivado
194,Ofício Expedido Ofício - Aditamento de Guia de Recolhimento - Crime,H:Ativo
195,Baixa Definitiva,H:Arquivado
196,Arquivado Provisoriamente RETORNOU AO ARQUIVO - 1º VOL,H:Suspenso
197,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
198,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Execução de Título Extrajudicial - Número: 80012 - Protocolo: FBDO19000118389,H:Ativo
199,Arquivado Definitivamente,H:Arquivado
200,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
201,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados Ordem nº 1025/11 - Caixa nº 6262,H:Arquivado
202,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo,H:Ativo
203,Mandado Juntado,H:Arquivado
204,Decisão,H:Ativo
205,Remessa do Arquivo Caixa 6861/10,H:Suspenso
206,Arquivado Definitivamente,H:Arquivado
207,Arquivado Definitivamente,H:Arquivado
208,Autos no Prazo,H:Ativo
209,Certidão de Publicação Expedida Relação :0119/2019 Data da Disponibilização: 28/03/2019 Data da Publicação: 29/03/2019 Número do Diário: 2777 Página: 1541/1554,H:Ativo
210,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum Cível - Número: 80005 - Protocolo: FSTS19000265617,H:Ativo
211,Por Devolução Em Razão De Carga/Vistaprevista: 28/11/2016 - Marcio Lobo Petinati Recebimento De Autos - Ação Trabalhista (Ordinário),H:Arquivado
212,Arquivado Provisoriamente,H:Suspenso
213,Arquivado Definitivamente,H:Arquivado
214,Trânsito em Julgado às partes - com Baixa Transito Julgado: 17/03/2016,H:Arquivado
215,Arquivado Definitivamente,H:Arquivado
216,Arquivado Definitivamente,H:Arquivado
217,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
218,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público TODOS OS VOLUMES em carga para o Serviço de Entrada de Autos Direito Público SJ 2.1.4 Complexo Ipiranga - sala 38. Guai de Transporte nº 0000156108/2015 Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo,H:Ativo
219,Remessa a Origem Remetido (DEVOLVIDO) ao Juízo de Origem SERIAL - 201101075,H:Arquivado
220,Certidão de Publicação Expedida Relação :0227/2019 Data da Disponibilização: 28/03/2019 Data da Publicação: 29/03/2019 Número do Diário: 2777 Página: 2650/2652,H:Ativo
221,Arquivado Provisoriamente,H:Suspenso
222,Certidão de Não Consulta ao Teor da Informação - Contagem de Prazo do Ato - Expedida Certidão de Não Leitura - Contagem de Prazo do Ato,H:Suspenso
223,Arquivado Definitivamente,H:Arquivado
224,"Mandado Devolvido Cumprido Positivo CERTIDÃO - MANDADO CUMPRIDO POSITIVOCERTIFICO eu, Oficial de Justiça, que em cumprimento ao mandado nº 462.2017/002736-6 dirigi-me ao endereço: Alameda Pedro Calil, 43 - Centro - Poá e, aí sendo, INTIMEI BANCO DIBENS LEASING S/A, na pessoa de seu representante legal, Sr. ALEX APARECIDO OLIVEIRA - RG n. 27.391.845-X, do inteiro teor do mandado, que de tudo ciente ficou, aceitou a contrafé que lhe li e ofereci e exarou sua assinatura no mandado, às fls. 03.O referido é verdade e dou fé. Poá, 15 de março de 2017.Número de Cotas: 00Cumprimento agrupado com o mandado n. 462.2017/002756-0",H:Arquivado
225,Tipo do Movimento:RemessaDestinatário:Tribunal de Justiça Prazo:15 dia(s),H:Ativo
226,Tipo do Movimento:RemessaDestinatário:Central de Arquivamento Prazo:15 dia(s),H:Arquivado
227,Baixa Definitiva,H:Arquivado
228,Certidão de Publicação Expedida Relação :0279/2019 Data da Disponibilização: 25/03/2019 Data da Publicação: 26/03/2019 Número do Diário: 2774 Página: 1749/1754,H:Ativo
229,Conclusos para Decisão Em br,H:Ativo
230,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
231,Certidão de Publicação Expedida Relação :0160/2019 Data da Disponibilização: 21/03/2019 Data da Publicação: 22/03/2019 Número do Diário: 2772 Página: 1453/1464,H:Ativo
232,Petição Juntada Nº Protocolo: WLIS.18.70081781-3 Tipo da Petição: Petições Diversas Data: 21/12/2018 11:58,H:Arquivado
233,"Certidão de Cartório Expedida C E R T I D Ã O Certifico e dou fé que nesta data remeti estes autos à 2ª Instância (sem mídia). (Comunicado CG nº 1181/2017, DJE 10/05/2017, pág. 10). Nada Mais. São José dos Campos, 13 de fevereiro de 2019. Eu, ___, Luiz Valter Alves, Escrevente Técnico Judiciário.",H:Ativo
234,Tipo do Movimento:Conclusão ao Juiz Juiz:CARLO ARTUR BASILICO,H:Ativo
235,Conclusos para Sentença,H:Ativo
236,Arquivado Provisoriamente - Execução Frustrada,H:Suspenso
237,Arquivado Definitivamente Remessa ao Arquivo Geral,H:Arquivado
238,Decurso de Prazo 33 II - Certidão - Decurso de Prazo,H:Suspenso
239,Remetida a Carta Precatória ao Cartório de Origem Cumprida Negativa,H:Arquivado
240,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum - Número: 80013 - Protocolo: FSNE17000741112,H:Ativo
241,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum - Número: 80018 - Protocolo: FBFU18000719201,H:Ativo
242,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
243,Arquivado Definitivamente,H:Arquivado
244,Certidão de Cartório Expedida Certidão - nada,H:Ativo
245,Arquivado Definitivamente,H:Arquivado
246,Tipo do Movimento:Recebidos os autos Prazo:5 dia(s),H:Ativo
247,Carta Precatória Juntada,H:Arquivado
248,AR Positivo Juntado,H:Arquivado
249,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
250,Baixa Definitiva,H:Arquivado
251,Mudança de Classe Processual,H:Suspenso
252,Recebidos Os Autos (Retorno Do Tst),H:Arquivado
